cadastral_number,su_nmb,x,y
47:20:0835002:258,22,6580168.50,297661.63
47:20:0835002:258,23,6580193.76,297656.66
47:20:0835002:258,24,6580237.88,297645.72
47:20:0835002:258,1,6580442.73,297585.82
47:20:0835002:259,1,6579925.08,298216.29
47:20:0835002:259,2,6579927.75,298223.85
47:20:0835002:259,3,6579957.74,298308.64
47:20:0835002:259,4,6579979.65,298370.36
47:20:0835002:259,5,6579966.96,298374.22
47:20:0835002:259,6,6579924.84,298259.45
47:20:0835002:259,1,6579925.08,298216.29
47:20:0835002:261,1,6579979.67,298370.35
47:20:0835002:261,2,6579987.86,298393.38
47:20:0835002:261,3,6580018.63,298480.10
47:20:0835002:261,4,6580048.73,298564.92
47:20:0835002:261,5,6580159.40,298853.59
47:20:0835002:261,6,6580144.49,298858.02
47:20:0835002:261,7,6579966.96,298374.22
47:20:0835002:261,1,6579979.67,298370.35
47:20:0835002:262,1,6580785.26,298125.43
47:20:0835002:262,2,6580809.05,298202.95
47:20:0835002:262,3,6580833.60,298312.46
47:20:0835002:262,4,6580870.54,298431.87
47:20:0835002:262,5,6580962.31,298423.78
47:20:0835002:262,6,6580979.21,298451.77
47:20:0835002:262,7,6580992.80,298467.07
47:20:0835002:262,8,6581008.11,298601.21
47:20:0835002:262,9,6580159.40,298853.59
47:20:0835002:262,10,6580048.73,298564.92
47:20:0835002:262,11,6580018.63,298480.10
47:20:0835002:262,12,6579987.86,298393.38
47:20:0835002:262,13,6579979.67,298370.35
47:20:0835002:262,1,6580785.26,298125.43
47:20:0835002:263,1,6583348.19,296753.67
47:20:0835002:263,2,6583349.27,296757.68
47:20:0835002:263,3,6583347.46,296768.19
47:20:0835002:263,4,6583336.76,296804.07
47:20:0835002:263,5,6583331.65,296814.66
47:20:0835002:263,6,6583320.79,296847.87
47:20:0835002:263,7,6583317.50,296859.44
47:20:0835002:263,8,6583111.61,296901.14
47:20:0835002:263,9,6583071.80,296781
47:20:0835002:263,10,6583315.48,296744.97
47:20:0835002:263,11,6583339.73,296751.07
47:20:0835002:263,1,6583348.19,296753.67
47:20:0835002:264,1,6583346.28,296746.53
47:20:0835002:264,2,6583348.19,296753.67
47:20:0835002:264,3,6583339.73,296751.07
47:20:0835002:264,4,6583315.48,296744.97
47:20:0835002:264,5,6583071.80,296781
47:20:0835002:264,6,6583063.25,296755.20
47:20:0835002:264,7,6583069.85,296754.03
47:20:0835002:264,8,6583172.90,296738.03
47:20:0835002:264,9,6583253.04,296729.52
47:20:0835002:264,10,6583303.81,296735.16
47:20:0835002:264,1,6583346.28,296746.53
47:20:0835002:266,1,6583063.25,296755.20
47:20:0835002:266,2,6583071.80,296781
47:20:0835002:266,3,6583014.63,296790.40
47:20:0835002:266,4,6582954.91,296800.40
47:20:0835002:266,5,6582882.35,296812.55
47:20:0835002:266,6,6582837.82,296820
47:20:0835002:266,7,6582823,296839.08
47:20:0835002:266,8,6582778.82,296847.66
47:20:0835002:266,9,6582760.03,296836.78
47:20:0835002:266,10,6582713.04,296847.81
47:20:0835002:266,11,6582652.87,296861.94
47:20:0835002:266,12,6582586.59,296877.51
47:20:0835002:266,13,6582503.79,296896.97
47:20:0835002:266,14,6582457.03,296907.94
47:20:0835002:266,15,6582460.67,296921.90
47:20:0835002:266,16,6582417.11,296933.23
47:20:0835002:266,17,6582413.64,296920.01
47:20:0835002:266,18,6582206.44,296975.55
47:20:0835002:266,19,6581669.60,297127.43
47:20:0835002:266,20,6581606.78,297149.10
47:20:0835002:266,21,6581567.23,297162.58
47:20:0835002:266,22,6581504.71,297183.24
47:20:0835002:266,23,6581464.15,297197
47:20:0835002:266,24,6581419.85,297212.55
47:20:0835002:266,25,6581405.21,297207.72
47:20:0835002:266,26,6581324.59,297200.76
47:20:0835002:266,27,6581385.25,297184.18
47:20:0835002:266,28,6581422.02,297173.43
47:20:0835002:266,29,6581544.46,297138.53
47:20:0835002:266,30,6581556.66,297156.49
47:20:0835002:266,31,6581568.55,297153.13
47:20:0835002:266,32,6581569.55,297131.44
47:20:0835002:266,33,6581646.68,297109.66
47:20:0835002:266,34,6581933.03,297028.80
47:20:0835002:266,35,6581957.48,297022.35
47:20:0835002:266,36,6582090.16,296987.36
47:20:0835002:266,37,6582187.38,296958.84
47:20:0835002:266,38,6582192.19,296977.59
47:20:0835002:266,39,6582290.73,296949.33
47:20:0835002:266,40,6582316.09,296942.12
47:20:0835002:266,41,6582408.21,296916.97
47:20:0835002:266,42,6582402.18,296895.84
47:20:0835002:266,43,6582412.97,296892.67
47:20:0835002:266,44,6582617.83,296843.68
47:20:0835002:266,45,6582683.54,296827.97
47:20:0835002:266,46,6582737.51,296815.38
47:20:0835002:266,47,6582829.06,296796.67
47:20:0835002:266,48,6582837.70,296795.14
47:20:0835002:266,49,6582928.57,296778.99
47:20:0835002:266,1,6583063.25,296755.20
47:20:0835002:267,1,6583912.38,298657.09
47:20:0835002:267,2,6583859.09,298837.19
47:20:0835002:267,3,6583702.65,298790.51
47:20:0835002:267,4,6583765.83,298605.66
47:20:0835002:267,1,6583912.38,298657.09
47:20:0835002:268,1,6583859.09,298837.19
47:20:0835002:268,2,6583793.21,299149
47:20:0835002:268,3,6583590.14,299119.71
47:20:0835002:268,4,6583702.65,298790.51
47:20:0835002:268,1,6583859.09,298837.19
47:20:0835002:269,1,6583816.98,298456.01
47:20:0835002:269,2,6583765.83,298605.66
47:20:0835002:269,3,6583702.65,298790.51
47:20:0835002:269,4,6583590.14,299119.71
47:20:0835002:269,5,6583468.54,299118.05
47:20:0835002:269,6,6583477.53,298957.42
47:20:0835002:269,7,6583481.76,298941.19
47:20:0835002:269,8,6583516.71,298896.71
47:20:0835002:269,9,6583539.60,298863.32
47:20:0835002:269,10,6583590.88,298796.87
47:20:0835002:269,11,6583610.42,298749.79
47:20:0835002:269,12,6583615.30,298730.70
47:20:0835002:269,13,6583620.60,298680.03
47:20:0835002:269,14,6583628.79,298618.45
47:20:0835002:269,15,6583633.05,298531.42
47:20:0835002:269,16,6583635.28,298516.59
47:20:0835002:269,17,6583637.60,298511.07
47:20:0835002:269,18,6583641.44,298505.63
47:20:0835002:269,19,6583646.96,298501.39
47:20:0835002:269,20,6583651.73,298499.50
47:20:0835002:269,21,6583680.40,298476.07
47:20:0835002:269,22,6583733.15,298435.49
47:20:0835002:269,1,6583816.98,298456.01
47:20:0835002:270,1,6581066.84,297387.51
47:20:0835002:270,2,6581043.31,297394.89
47:20:0835002:270,3,6581050.56,297418.27
47:20:0835002:270,4,6581071.60,297425.16
47:20:0835002:270,5,6581078.03,297423.16
47:20:0835002:270,1,6581066.84,297387.51
47:20:0835002:271,1,6581307.92,297212.06
47:20:0835002:271,2,6581322.29,297214.18
47:20:0835002:271,3,6581334.96,297218.63
47:20:0835002:271,4,6581291.10,297233.03
47:20:0835002:271,5,6581282.86,297251.96
47:20:0835002:271,6,6581258.17,297260.36
47:20:0835002:271,7,6581248.36,297264.37
47:20:0835002:271,8,6581228.06,297270.60
47:20:0835002:271,9,6581212.85,297275.46
47:20:0835002:271,10,6581188.52,297283.05
47:20:0835002:271,11,6581175.30,297286.76
47:20:0835002:271,12,6581161.91,297290.56
47:20:0835002:271,13,6581150.14,297293.90
47:20:0835002:271,14,6581137.95,297297.41
47:20:0835002:271,15,6581125.80,297300.90
47:20:0835002:271,16,6581118.18,297303.14
47:20:0835002:271,17,6581106.99,297306.33
47:20:0835002:271,18,6581089.71,297311.08
47:20:0835002:271,19,6581066.77,297317.35
47:20:0835002:271,20,6581035.26,297326.26
47:20:0835002:271,21,6581002.57,297335.94
47:20:0835002:271,22,6580988.85,297340.09
47:20:0835002:271,23,6580971.04,297346.96
47:20:0835002:271,24,6580950.73,297355.68
47:20:0835002:271,25,6580927.21,297365.57
47:20:0835002:271,26,6580915.90,297381.48
47:20:0835002:271,27,6580939.28,297373.26
47:20:0835002:271,28,6580962.28,297375.44
47:20:0835002:271,29,6580995.19,297393.09
47:20:0835002:271,30,6580987.65,297410.37
47:20:0835002:271,31,6580950.45,297404.77
47:20:0835002:271,32,6580937.13,297407.10
47:20:0835002:271,33,6580926.74,297414.82
47:20:0835002:271,34,6580906.52,297438.04
47:20:0835002:271,35,6580886.02,297463.57
47:20:0835002:271,36,6580871.02,297480.70
47:20:0835002:271,37,6580847.48,297491.87
47:20:0835002:271,38,6580823.65,297493.58
47:20:0835002:271,39,6580813.26,297489.91
47:20:0835002:271,40,6580801.15,297485.63
47:20:0835002:271,41,6580788.51,297477.39
47:20:0835002:271,42,6580784.10,297477.62
47:20:0835002:271,43,6580778.45,297472.64
47:20:0835002:271,44,6580770.20,297467.63
47:20:0835002:271,45,6580766.39,297466.12
47:20:0835002:271,46,6580762.29,297466.57
47:20:0835002:271,47,6580757.78,297468.57
47:20:0835002:271,48,6580751.17,297472.35
47:20:0835002:271,49,6580739.23,297479.26
47:20:0835002:271,50,6580732.75,297483.67
47:20:0835002:271,51,6580723.93,297489.68
47:20:0835002:271,52,6580716.63,297493.49
47:20:0835002:271,53,6580687.49,297508.44
47:20:0835002:271,54,6580666.66,297520.36
47:20:0835002:271,55,6580645.72,297531.91
47:20:0835002:271,56,6580645.87,297530.44
47:20:0835002:271,57,6580657.91,297523.68
47:20:0835002:271,58,6580669.81,297516.72
47:20:0835002:271,59,6580673.23,297514.68
47:20:0835002:271,60,6580676.67,297512.61
47:20:0835002:271,61,6580680.10,297510.50
47:20:0835002:271,62,6580683.51,297508.40
47:20:0835002:271,63,6580686.91,297506.28
47:20:0835002:271,64,6580690.30,297504.15
47:20:0835002:271,65,6580693.67,297502.02
47:20:0835002:271,66,6580697.04,297499.87
47:20:0835002:271,67,6580700.39,297497.70
47:20:0835002:271,68,6580703.73,297495.54
47:20:0835002:271,69,6580707.05,297493.37
47:20:0835002:271,70,6580713.68,297489
47:20:0835002:271,71,6580716.97,297486.80
47:20:0835002:271,72,6580720.26,297484.60
47:20:0835002:271,73,6580723.53,297482.39
47:20:0835002:271,74,6580726.80,297480.18
47:20:0835002:271,75,6580730.05,297477.96
47:20:0835002:271,76,6580733.30,297475.74
47:20:0835002:271,77,6580736.54,297473.52
47:20:0835002:271,78,6580739.77,297471.30
47:20:0835002:271,79,6580743,297469.07
47:20:0835002:271,80,6580746.22,297466.84
47:20:0835002:271,81,6580749.43,297464.61
47:20:0835002:271,82,6580752.62,297462.39
47:20:0835002:271,83,6580755.82,297460.15
47:20:0835002:271,84,6580764.74,297453.90
47:20:0835002:271,85,6580775.06,297468.62
47:20:0835002:271,86,6580793.50,297455.73
47:20:0835002:271,87,6580811.96,297442.87
47:20:0835002:271,88,6580801.73,297428.07
47:20:0835002:271,89,6580825.28,297412.05
47:20:0835002:271,90,6580828.43,297409.94
47:20:0835002:271,91,6580831.58,297407.85
47:20:0835002:271,92,6580834.73,297405.78
47:20:0835002:271,93,6580837.88,297403.72
47:20:0835002:271,94,6580840.97,297401.72
47:20:0835002:271,95,6580858.54,297390.59
47:20:0835002:271,96,6580876.39,297379.92
47:20:0835002:271,97,6580912.86,297388.36
47:20:0835002:271,98,6580918.06,297358.81
47:20:0835002:271,99,6580916.12,297358.38
47:20:0835002:271,100,6580921.09,297355.89
47:20:0835002:271,101,6580915.88,297345.38
47:20:0835002:271,102,6580942.55,297328.53
47:20:0835002:271,103,6580943.45,297325.53
47:20:0835002:271,104,6580979.70,297310.50
47:20:0835002:271,105,6580991.27,297306.15
47:20:0835002:271,106,6580993.09,297305.48
47:20:0835002:271,107,6580996.66,297304.18
47:20:0835002:271,108,6581000.25,297302.91
47:20:0835002:271,109,6581003.84,297301.64
47:20:0835002:271,110,6581007.44,297300.39
47:20:0835002:271,111,6581011.05,297299.16
47:20:0835002:271,112,6581014.66,297297.93
47:20:0835002:271,113,6581018.28,297296.72
47:20:0835002:271,114,6581021.91,297295.53
47:20:0835002:271,115,6581025.55,297294.34
47:20:0835002:271,116,6581029.19,297293.17
47:20:0835002:271,117,6581032.83,297292
47:20:0835002:271,118,6581036.48,297290.85
47:20:0835002:271,119,6581040.14,297289.71
47:20:0835002:271,120,6581043.80,297288.57
47:20:0835002:271,121,6581047.47,297287.45
47:20:0835002:271,122,6581051.14,297286.33
47:20:0835002:271,123,6581054.82,297285.22
47:20:0835002:271,124,6581058.50,297284.11
47:20:0835002:271,125,6581062.18,297283.01
47:20:0835002:271,126,6581065.87,297281.92
47:20:0835002:271,127,6581069.56,297280.84
47:20:0835002:271,128,6581073.26,297279.75
47:20:0835002:271,129,6581076.96,297278.67
47:20:0835002:271,130,6581080.67,297277.60
47:20:0835002:271,131,6581084.37,297276.53
47:20:0835002:271,132,6581088.08,297275.46
47:20:0835002:271,133,6581091.79,297274.39
47:20:0835002:271,134,6581095.51,297273.32
47:20:0835002:271,135,6581099.22,297272.25
47:20:0835002:271,136,6581102.94,297271.19
47:20:0835002:271,137,6581214.47,297239.10
47:20:0835002:271,138,6581243.88,297229.78
47:20:0835002:271,1,6581307.92,297212.06
47:20:0835002:272,1,6581281.60,297210.65
47:20:0835002:272,2,6581305.61,297211.75
47:20:0835002:272,3,6581308.57,297211.88
47:20:0835002:272,4,6581307.92,297212.06
47:20:0835002:272,5,6581243.88,297229.78
47:20:0835002:272,6,6581214.47,297239.10
47:20:0835002:272,7,6581102.94,297271.19
47:20:0835002:272,8,6581099.22,297272.25
47:20:0835002:272,9,6581095.51,297273.32
47:20:0835002:272,10,6581091.79,297274.39
47:20:0835002:272,11,6581088.08,297275.46
47:20:0835002:272,12,6581084.37,297276.53
47:20:0835002:272,13,6581080.67,297277.60
47:20:0835002:272,14,6581076.96,297278.67
47:20:0835002:272,15,6581073.26,297279.75
47:20:0835002:272,16,6581069.56,297280.84
47:20:0835002:272,17,6581065.87,297281.92
47:20:0835002:272,18,6581062.18,297283.01
47:20:0835002:272,19,6581058.50,297284.11
47:20:0835002:272,20,6581054.82,297285.22
47:20:0835002:272,21,6581051.14,297286.33
47:20:0835002:272,22,6581047.47,297287.45
47:20:0835002:272,23,6581043.80,297288.57
47:20:0835002:272,24,6581040.14,297289.71
47:20:0835002:272,25,6581036.48,297290.85
47:20:0835002:272,26,6581032.83,297292
47:20:0835002:272,27,6581029.19,297293.17
47:20:0835002:272,28,6581025.55,297294.34
47:20:0835002:272,29,6581021.91,297295.53
47:20:0835002:272,30,6581018.28,297296.72
47:20:0835002:272,31,6581014.66,297297.93
47:20:0835002:272,32,6581011.05,297299.16
47:20:0835002:272,33,6581007.44,297300.39
47:20:0835002:272,34,6581003.84,297301.64
47:20:0835002:272,35,6581000.25,297302.91
47:20:0835002:272,36,6580996.66,297304.18
47:20:0835002:272,37,6580993.09,297305.48
47:20:0835002:272,38,6580991.27,297306.15
47:20:0835002:272,39,6580979.70,297310.50
47:20:0835002:272,40,6580943.45,297325.53
47:20:0835002:272,41,6580945,297320.35
47:20:0835002:272,42,6581083.84,297275.20
47:20:0835002:272,43,6581094.95,297271.33
47:20:0835002:272,44,6581099.57,297267.53
47:20:0835002:272,45,6581114.18,297258.37
47:20:0835002:272,46,6581217.73,297227.38
47:20:0835002:272,47,6581241.31,297219.92
47:20:0835002:272,1,6581281.60,297210.65
47:20:0835002:273,1,6581324.59,297200.76
47:20:0835002:273,2,6581343.01,297202.35
47:20:0835002:273,3,6581322.76,297207.95
47:20:0835002:273,4,6581308.57,297211.88
47:20:0835002:273,5,6581305.61,297211.75
47:20:0835002:273,6,6581281.60,297210.65
47:20:0835002:273,1,6581324.59,297200.76
47:20:0835002:275,1,6580478.45,297579.23
47:20:0835002:275,2,6580483.33,297598.96
47:20:0835002:275,3,6580489.34,297597.44
47:20:0835002:275,4,6580495.77,297613.68
47:20:0835002:275,5,6580477.36,297619.67
47:20:0835002:275,6,6580471.50,297602.65
47:20:0835002:275,7,6580419.55,297618.08
47:20:0835002:275,8,6580304.35,297651.64
47:20:0835002:275,9,6580305.90,297638.66
47:20:0835002:275,10,6580444.13,297590.22
47:20:0835002:275,11,6580442.73,297585.82
47:20:0835002:275,12,6580470.13,297577.80
47:20:0835002:275,1,6580478.45,297579.23
47:20:0835002:276,1,6581313.85,300103.36
47:20:0835002:276,2,6581275.18,300179.27
47:20:0835002:276,3,6581356.44,300229.92
47:20:0835002:276,4,6581405.38,300260.16
47:20:0835002:276,5,6581402.23,300265.26
47:20:0835002:276,6,6581353.27,300235.01
47:20:0835002:276,7,6581267.34,300181.45
47:20:0835002:276,8,6581306.90,300103.78
47:20:0835002:276,1,6581313.85,300103.36
47:20:0835002:277,1,6581358.36,297210.91
47:20:0835002:277,2,6581334.94,297218.61
47:20:0835002:277,3,6581322.29,297214.18
47:20:0835002:277,4,6581307.92,297212.06
47:20:0835002:277,5,6581322.76,297207.95
47:20:0835002:277,6,6581345.69,297208.48
47:20:0835002:277,7,6581356.36,297210.21
47:20:0835002:277,1,6581358.36,297210.91
47:20:0835002:278,1,6581358.35,297210.91
47:20:0835002:278,2,6581400.03,297225.49
47:20:0835002:278,3,6581460.09,297278.10
47:20:0835002:278,4,6581490.24,297328.49
47:20:0835002:278,5,6581501.78,297469.10
47:20:0835002:278,6,6581486.65,297466.72
47:20:0835002:278,7,6581475.58,297333.15
47:20:0835002:278,8,6581448.43,297287.83
47:20:0835002:278,9,6581392.33,297238.69
47:20:0835002:278,10,6581334.94,297218.61
47:20:0835002:278,1,6581358.35,297210.91
47:20:0835002:279,1,6586300.55,297385.83
47:20:0835002:279,2,6586315.44,297413.54
47:20:0835002:279,3,6586345.97,297468.81
47:20:0835002:279,4,6586381.73,297534.68
47:20:0835002:279,5,6586416.60,297599.30
47:20:0835002:279,6,6586463.95,297685.57
47:20:0835002:279,7,6586155.75,297888.05
47:20:0835002:279,8,6586042.12,297677.24
47:20:0835002:279,9,6586084.80,297620.50
47:20:0835002:279,10,6586123.90,297568.58
47:20:0835002:279,11,6586140.34,297546.52
47:20:0835002:279,12,6586152.75,297528.33
47:20:0835002:279,13,6586165.99,297504.91
47:20:0835002:279,14,6586179.84,297485.28
47:20:0835002:279,15,6586197.12,297455.68
47:20:0835002:279,16,6586205.10,297449.29
47:20:0835002:279,17,6586242.70,297421.17
47:20:0835002:279,18,6586268.80,297403.58
47:20:0835002:279,1,6586300.55,297385.83
47:20:0835002:284,1,6587164.57,299558.84
47:20:0835002:284,2,6587181.37,299717.24
47:20:0835002:284,3,6586999.18,299695.94
47:20:0835002:284,4,6586982.38,299537.55
47:20:0835002:284,1,6587164.57,299558.84
47:20:0835002:285,1,6583990.71,298287.59
47:20:0835002:285,2,6583932.20,298487.07
47:20:0835002:285,3,6583816.98,298456.01
47:20:0835002:285,4,6583733.15,298435.49
47:20:0835002:285,5,6583812.21,298368.67
47:20:0835002:285,6,6583864.35,298295.47
47:20:0835002:285,7,6583885.41,298261.25
47:20:0835002:285,1,6583990.71,298287.59
47:20:0835002:286,1,6581205.78,297463.60
47:20:0835002:286,2,6581209.25,297523.79
47:20:0835002:286,3,6581172.26,297536.60
47:20:0835002:286,4,6581247.15,297624
47:20:0835002:286,5,6581327.60,297698.88
47:20:0835002:286,6,6581443.27,297660.19
47:20:0835002:286,7,6581456.30,297601.63
47:20:0835002:286,8,6581514.87,297614.66
47:20:0835002:286,9,6581503.73,297664.72
47:20:0835002:286,10,6581690.83,297628.43
47:20:0835002:286,11,6581731.03,297505.21
47:20:0835002:286,12,6581719.20,297503.28
47:20:0835002:286,13,6581400.80,297453.22
47:20:0835002:286,14,6581331.11,297456.13
47:20:0835002:286,15,6581269.50,297458.48
47:20:0835002:286,16,6581213.61,297460.63
47:20:0835002:286,1,6581205.78,297463.60
47:20:0835002:287,1,6581205.78,297463.60
47:20:0835002:287,2,6581133.29,297491.12
47:20:0835002:287,3,6581172.26,297536.60
47:20:0835002:287,4,6581209.25,297523.79
47:20:0835002:287,1,6581205.78,297463.60
47:20:0835002:288,1,6581868.19,299371.89
47:20:0835002:288,2,6581821.79,299491.22
47:20:0835002:288,3,6581793.48,299555.52
47:20:0835002:288,4,6581721.23,299764.17
47:20:0835002:288,5,6581496.19,299701.43
47:20:0835002:288,6,6581434.37,299686.21
47:20:0835002:288,7,6581410.94,299678.59
47:20:0835002:288,8,6581363.66,299611.26
47:20:0835002:288,9,6581409.46,299549.72
47:20:0835002:288,10,6581591.80,299282.53
47:20:0835002:288,11,6581699.17,299317.18
47:20:0835002:288,1,6581868.19,299371.89
47:20:0835002:289,1,6581409.46,299549.72
47:20:0835002:289,2,6581363.66,299611.26
47:20:0835002:289,3,6581283.54,299543.18
47:20:0835002:289,4,6581198.28,299469.92
47:20:0835002:289,5,6581246.35,299414.86
47:20:0835002:289,1,6581409.46,299549.72
47:20:0835002:291,1,6587171.57,299716.09
47:20:0835002:291,2,6587169.66,299872.41
47:20:0835002:291,3,6586999.39,299872.21
47:20:0835002:291,4,6586999.18,299695.94
47:20:0835002:291,1,6587171.57,299716.09
47:20:0835002:292,1,6587167.60,300040.81
47:20:0835002:292,2,6587165.07,300247.42
47:20:0835002:292,3,6587156.39,300295.61
47:20:0835002:292,4,6587124.73,300352.04
47:20:0835002:292,5,6587089.23,300393.68
47:20:0835002:292,6,6587018.85,300435.26
47:20:0835002:292,7,6587000.06,300444.11
47:20:0835002:292,8,6586999.59,300040.81
47:20:0835002:292,1,6587167.60,300040.81
47:20:0835002:293,1,6586855.07,300126.99
47:20:0835002:293,2,6586855.07,300510.97
47:20:0835002:293,3,6586779.86,300545.66
47:20:0835002:293,4,6586779.86,300171.84
47:20:0835002:293,1,6586855.07,300126.99
47:20:0835002:294,1,6585194.97,300759.34
47:20:0835002:294,2,6585243.97,301069.78
47:20:0835002:294,3,6585152.85,301084.26
47:20:0835002:294,4,6585103.84,300773.73
47:20:0835002:294,1,6585194.97,300759.34
47:20:0835002:295,1,6587169.66,299872.41
47:20:0835002:295,2,6587167.60,300040.81
47:20:0835002:295,3,6586999.59,300040.81
47:20:0835002:295,4,6586999.39,299872.21
47:20:0835002:295,1,6587169.66,299872.41
47:20:0835002:296,1,6585286.10,300744.96
47:20:0835002:296,2,6585335.12,301055.49
47:20:0835002:296,3,6585243.97,301069.78
47:20:0835002:296,4,6585194.97,300759.34
47:20:0835002:296,1,6585286.10,300744.96
47:20:0835002:297,1,6586999.59,300040.81
47:20:0835002:297,2,6587000.06,300444.11
47:20:0835002:297,3,6586855.07,300510.97
47:20:0835002:297,4,6586855.07,300126.99
47:20:0835002:297,1,6586999.59,300040.81
47:20:0835002:298,1,6585103.84,300773.73
47:20:0835002:298,2,6585152.85,301084.26
47:20:0835002:298,3,6585061.71,301098.55
47:20:0835002:298,4,6585012.70,300788.11
47:20:0835002:298,1,6585103.84,300773.73
47:20:0835002:299,1,6585012.70,300788.11
47:20:0835002:299,2,6585061.71,301098.55
47:20:0835002:299,3,6584879.61,301126.47
47:20:0835002:299,4,6584830.04,300817.42
47:20:0835002:299,1,6585012.70,300788.11
47:20:0835002:300,1,6586463.95,297685.57
47:20:0835002:300,2,6586702.01,298127.51
47:20:0835002:300,3,6586845.56,298389.88
47:20:0835002:300,4,6586860.87,298452.45
47:20:0835002:300,5,6586634.28,298761.60
47:20:0835002:300,6,6586240.36,298035.58
47:20:0835002:300,7,6586155.75,297888.05
47:20:0835002:300,1,6586463.95,297685.57
47:20:0835002:301,1,6585468.17,300717.14
47:20:0835002:301,2,6585517.21,301027.57
47:20:0835002:301,3,6585335.12,301055.49
47:20:0835002:301,4,6585286.10,300744.96
47:20:0835002:301,1,6585468.17,300717.14
47:20:0835002:302,1,6581132.30,297313.85
47:20:0835002:302,2,6581059.07,297331.11
47:20:0835002:302,3,6581015.70,297341.95
47:20:0835002:302,4,6581017.90,297352.69
47:20:0835002:302,5,6581026.93,297388.18
47:20:0835002:302,6,6581040.05,297384.38
47:20:0835002:302,7,6581033.90,297364.54
47:20:0835002:302,8,6581064.80,297354.98
47:20:0835002:302,9,6581063.21,297349.92
47:20:0835002:302,10,6581074.70,297346.31
47:20:0835002:302,11,6581076.32,297347.80
47:20:0835002:302,12,6581097.97,297341.02
47:20:0835002:302,13,6581097.39,297339.18
47:20:0835002:302,14,6581111.36,297334.78
47:20:0835002:302,15,6581112.29,297337.72
47:20:0835002:302,16,6581128.82,297331.57
47:20:0835002:302,17,6581133.54,297346.62
47:20:0835002:302,18,6581108.05,297354.59
47:20:0835002:302,19,6581124.81,297408.66
47:20:0835002:302,20,6581132.41,297428.13
47:20:0835002:302,21,6581149.83,297426.09
47:20:0835002:302,22,6581145.26,297384.39
47:20:0835002:302,23,6581140.93,297352.52
47:20:0835002:302,1,6581132.30,297313.85
47:20:0835002:303,1,6581153.25,297444.91
47:20:0835002:303,2,6581139.88,297447.26
47:20:0835002:303,3,6581153.94,297483.29
47:20:0835002:303,4,6581205.79,297463.60
47:20:0835002:303,5,6581204.52,297447.18
47:20:0835002:303,6,6581156.86,297455.35
47:20:0835002:303,1,6581153.25,297444.91
47:20:0835002:304,1,6581133.29,297491.12
47:20:0835002:304,2,6581123.94,297494.67
47:20:0835002:304,3,6581145.16,297546.13
47:20:0835002:304,4,6581172.26,297536.60
47:20:0835002:304,1,6581133.29,297491.12
47:20:0835002:305,1,6581119.18,297410.39
47:20:0835002:305,2,6581071.60,297425.16
47:20:0835002:305,3,6581088.37,297428.37
47:20:0835002:305,4,6581126.37,297428.89
47:20:0835002:305,1,6581119.18,297410.39
47:20:0000000:14245,1,6580847.48,297491.87
47:20:0000000:14245,2,6580871.02,297480.70
47:20:0000000:14245,3,6580886.02,297463.57
47:20:0000000:14245,4,6580906.52,297438.04
47:20:0000000:14245,5,6580926.74,297414.82
47:20:0000000:14245,6,6580937.13,297407.10
47:20:0000000:14245,7,6580950.45,297404.77
47:20:0000000:14245,8,6580987.65,297410.37
47:20:0000000:14245,9,6580988.29,297412.55
47:20:0000000:14245,10,6580943.24,297530.35
47:20:0000000:14245,11,6580892.45,297535.23
47:20:0000000:14245,12,6580831.32,297493.03
47:20:0000000:14245,1,6580847.48,297491.87
47:20:0000000:14567,1,6582026.69,299496.11
47:20:0000000:14567,2,6581976.92,299594.24
47:20:0000000:14567,3,6581954.75,299637.94
47:20:0000000:14567,4,6581857.48,299594.73
47:20:0000000:14567,5,6581862.98,299581.51
47:20:0000000:14567,6,6581793.48,299555.52
47:20:0000000:14567,7,6581821.79,299491.22
47:20:0000000:14567,8,6581951.58,299457.73
47:20:0000000:14567,1,6582026.69,299496.11
